ID_Trafo,Tanggal_Uji,H2,CH4,C2H6,C2H4,C2H2,CO,CO2,Ratio_O2_N2,BDV,Acid,Water,IFT,DDF,Resistivity,Colour_ISO2049,Sediment_Sludge,Corrosive_Sulphur,Particles_ISO,Inhibitor_Content,Passivator_Content,Flash_Point,PCB_Content,Status_Pemurnian
Main_Transformer_02,2019-01-15,18.5,13.2,6.8,5.4,0.0,145,1520,0.3129,54.2,0.06,13.5,28.8,0.010,65.0,1.5,No,Non-Corrosive,Good,75.0,95.0,144.0,0.0,Normal
Main_Transformer_02,2019-09-20,23.0,17.5,9.2,9.1,0.0,162,1680,0.3281,52.0,0.08,15.2,27.3,0.014,58.0,2.0,No,Non-Corrosive,Good,70.0,90.0,143.0,0.0,Normal
Main_Transformer_02,2020-05-18,29.0,23.1,12.5,14.5,0.0,185,1890,0.3193,49.5,0.10,17.5,25.5,0.019,50.0,2.5,No,Non-Corrosive,Good,62.0,82.0,142.0,0.0,Normal
Main_Transformer_02,2021-01-22,36.5,30.2,16.8,22.0,0.0,212,2150,0.3242,46.8,0.13,20.2,23.4,0.025,42.0,3.0,No,Non-Corrosive,Fair,55.0,75.0,140.0,0.0,Normal
Main_Transformer_02,2021-09-30,46.0,39.0,22.5,32.5,0.0,248,2480,0.3128,43.5,0.16,23.8,21.0,0.032,32.0,3.5,No,Non-Corrosive,Fair,48.0,68.0,139.0,0.0,Normal
Main_Transformer_02,2022-05-25,58.0,50.2,29.8,46.8,0.0,290,2880,0.3263,40.0,0.20,28.0,18.2,0.042,22.0,4.0,No,Non-Corrosive,Fair,40.0,60.0,138.0,0.0,Normal
Main_Transformer_02,2023-01-20,73.0,64.5,39.0,65.0,0.0,342,3350,0.3185,36.2,0.25,33.0,15.2,0.055,14.0,4.5,Sludge,Non-Corrosive,Poor,32.0,52.0,136.0,0.0,Normal
Main_Transformer_02,2023-09-28,92.0,82.0,50.5,88.0,0.0,405,3900,0.3235,32.0,0.31,39.0,12.0,0.072,8.0,5.0,Sludge,Non-Corrosive,Poor,25.0,45.0,134.0,0.0,Normal
Main_Transformer_02,2024-05-22,115.0,103.0,64.8,118.0,0.0,482,4550,0.3112,27.5,0.38,46.0,8.5,0.095,4.0,5.5,Sludge,Non-Corrosive,Poor,18.0,38.0,132.0,0.0,Normal
Main_Transformer_02,2025-01-18,142.0,128.0,82.0,155.0,0.0,570,5300,0.3214,22.8,0.46,54.0,5.0,0.125,2.0,6.0,Sludge,Non-Corrosive,Poor,10.0,30.0,130.0,0.0,Normal
Main_Transformer_02,2025-09-25,175.0,158.0,102.0,202.0,0.0,675,6200,0.3152,18.0,0.55,63.0,2.1,0.160,1.0,6.5,Sludge,Non-Corrosive,Poor,5.0,20.0,128.0,0.0,Normal
Main_Transformer_02,2026-05-20,215.0,195.0,126.0,260.0,0.0,795,7250,0.3249,13.2,0.65,73.0,0.5,0.210,0.5,7.0,Sludge,Non-Corrosive,Poor,0.0,10.0,125.0,0.0,Normal
Main_Transformer_03,2018-05-10,20.0,12.0,6.0,4.0,0.0,180,1800,0.3208,48.0,0.12,18.0,24.0,0.015,50.0,2.0,No,Non-Corrosive,Good,75.0,95.0,145.0,0.0,Normal
Main_Transformer_03,2019-01-15,35.0,22.0,11.0,9.5,0.0,240,2300,0.3136,42.5,0.16,23.5,21.2,0.022,40.0,2.5,No,Non-Corrosive,Good,68.0,90.0,143.0,0.0,Normal
Main_Transformer_03,2019-09-20,58.0,38.0,18.5,18.0,0.0,320,2950,0.3249,36.0,0.22,30.2,18.0,0.035,28.0,3.0,No,Non-Corrosive,Fair,60.0,82.0,141.0,0.0,Normal
Main_Transformer_03,2020-05-18,92.0,62.0,29.0,31.0,0.0,420,3800,0.3166,29.5,0.29,38.5,14.5,0.052,18.0,3.5,No,Non-Corrosive,Fair,50.0,72.0,139.0,0.0,Normal
Main_Transformer_03,2021-01-22,140.0,98.0,44.0,52.0,1.2,550,4850,0.3209,22.0,0.38,48.0,10.8,0.080,10.0,4.5,Sludge,Non-Corrosive,Poor,38.0,60.0,136.0,0.0,Normal
Main_Transformer_03,2021-09-30,210.0,148.0,65.0,85.0,3.8,710,6100,0.3101,15.5,0.49,59.0,6.5,0.120,5.0,5.5,Sludge,Non-Corrosive,Poor,25.0,48.0,132.0,0.0,Normal
Main_Transformer_03,2022-05-25,10.0,6.0,3.0,2.0,0.0,40,350,0.2687,68.0,0.02,7.0,43.0,0.003,95.0,1.0,No,Non-Corrosive,Good,95.0,120.0,150.0,0.0,Reconditioning
Main_Transformer_03,2023-01-20,11.2,6.8,3.3,2.2,0.0,45,380,0.2774,66.8,0.02,7.5,42.2,0.004,90.0,1.0,No,Non-Corrosive,Good,92.0,118.0,149.0,0.0,Normal
Main_Transformer_03,2023-09-28,12.8,7.8,3.7,2.6,0.0,52,420,0.2638,65.5,0.03,8.1,41.2,0.005,85.0,1.0,No,Non-Corrosive,Good,88.0,115.0,148.0,0.0,Normal
Main_Transformer_03,2024-05-22,15.0,9.2,4.3,3.1,0.0,62,470,0.2816,64.0,0.03,8.8,40.1,0.006,80.0,1.5,No,Non-Corrosive,Good,85.0,112.0,148.0,0.0,Normal
Main_Transformer_03,2025-01-18,22.0,13.5,6.2,5.2,0.0,78,540,0.2727,62.2,0.04,9.8,38.8,0.008,75.0,1.5,No,Non-Corrosive,Good,80.0,108.0,147.0,0.0,Normal
Main_Transformer_03,2025-09-25,35.0,21.0,9.5,9.0,0.0,102,640,0.2884,60.0,0.04,11.0,37.2,0.010,70.0,1.5,No,Non-Corrosive,Good,75.0,104.0,146.0,0.0,Normal
Main_Transformer_03,2026-05-20,56.0,32.0,14.8,15.5,0.0,138,780,0.2791,57.5,0.05,12.5,35.4,0.012,65.0,2.0,No,Non-Corrosive,Good,70.0,100.0,145.0,0.0,Normal
Main_Transformer_04,2018-05-10,18.0,11.0,5.5,3.5,0.0,160,1600,0.3207,50.0,0.10,16.0,26.0,0.012,60.0,2.0,No,Non-Corrosive,Good,78.0,98.0,144.0,0.0,Normal
Main_Transformer_04,2019-01-15,30.0,19.0,9.2,7.8,0.0,210,2050,0.3135,44.5,0.14,21.0,23.2,0.018,48.0,2.5,No,Non-Corrosive,Good,70.0,92.0,142.0,0.0,Normal
Main_Transformer_04,2019-09-20,48.0,31.0,15.0,14.2,0.0,275,2600,0.3249,38.2,0.19,27.2,20.0,0.028,35.0,3.0,No,Non-Corrosive,Fair,60.0,85.0,140.0,0.0,Normal
Main_Transformer_04,2020-05-18,75.0,49.0,23.0,24.5,0.0,355,3300,0.3172,31.5,0.25,35.0,16.5,0.045,22.0,3.5,No,Non-Corrosive,Fair,50.0,75.0,138.0,0.0,Normal
Main_Transformer_04,2021-01-22,112.0,74.0,34.0,40.0,0.0,450,4150,0.3202,24.0,0.33,44.2,12.5,0.070,12.0,4.5,Sludge,Non-Corrosive,Poor,38.0,62.0,135.0,0.0,Normal
Main_Transformer_04,2021-09-30,165.0,108.0,49.0,62.0,0.0,560,5150,0.3085,16.8,0.42,55.0,8.0,0.105,6.0,5.5,Sludge,Non-Corrosive,Poor,25.0,50.0,131.0,0.0,Normal
Main_Transformer_04,2022-05-25,8.0,5.0,2.5,1.5,0.0,25,220,0.2500,72.0,0.01,5.0,46.0,0.002,110.0,0.5,No,Non-Corrosive,Good,100.0,125.0,152.0,0.0,Oil Replacement
Main_Transformer_04,2023-01-20,9.2,5.5,2.7,1.7,0.0,28,240,0.2596,70.8,0.01,5.4,45.2,0.003,105.0,0.5,No,Non-Corrosive,Good,98.0,122.0,151.0,0.0,Normal
Main_Transformer_04,2023-09-28,10.8,6.2,3.0,2.0,0.0,32,268,0.2453,69.5,0.01,5.9,44.3,0.003,100.0,1.0,No,Non-Corrosive,Good,95.0,120.0,150.0,0.0,Normal
Main_Transformer_04,2024-05-22,13.0,7.2,3.4,2.5,0.0,38,305,0.2652,68.0,0.02,6.5,43.2,0.004,95.0,1.0,No,Non-Corrosive,Good,92.0,116.0,150.0,0.0,Normal
Main_Transformer_04,2025-01-18,28.0,11.5,4.8,8.2,1.8,48,360,0.2552,66.2,0.02,7.3,42.0,0.005,90.0,1.0,No,Non-Corrosive,Good,88.0,112.0,149.0,0.0,Normal
Main_Transformer_04,2025-09-25,58.0,22.0,8.2,22.5,6.5,62,430,0.2707,64.0,0.02,8.3,40.6,0.006,85.0,1.5,No,Non-Corrosive,Good,85.0,108.0,148.0,0.0,Normal
Main_Transformer_04,2026-05-20,115.0,41.0,14.5,52.0,16.8,82,520,0.2609,61.5,0.03,9.5,39.0,0.007,80.0,1.5,No,Non-Corrosive,Good,80.0,105.0,147.0,0.0,Normal
Main_Transformer_05,2018-05-10,16.0,9.0,4.5,2.5,0.0,120,1300,0.3209,52.0,0.08,14.0,28.0,0.010,65.0,2.0,No,Non-Corrosive,Good,80.0,100.0,145.0,0.0,Normal
Main_Transformer_05,2019-01-15,28.0,17.0,8.0,6.0,0.0,165,1700,0.3150,46.5,0.11,18.5,25.2,0.016,52.0,2.0,No,Non-Corrosive,Good,72.0,92.0,143.0,0.0,Normal
Main_Transformer_05,2019-09-20,46.0,29.0,13.5,11.5,0.0,225,2200,0.3262,40.2,0.16,24.0,22.0,0.025,40.0,2.5,No,Non-Corrosive,Fair,62.0,84.0,141.0,0.0,Normal
Main_Transformer_05,2020-05-18,72.0,46.0,21.0,20.0,0.0,298,2850,0.3186,33.5,0.22,31.2,18.5,0.040,26.0,3.0,No,Non-Corrosive,Fair,52.0,74.0,139.0,0.0,Normal
Main_Transformer_05,2021-01-22,108.0,70.0,31.0,33.0,0.0,388,3650,0.3216,26.0,0.29,39.5,14.8,0.065,15.0,4.0,Sludge,Non-Corrosive,Poor,40.0,62.0,136.0,0.0,Normal
Main_Transformer_05,2021-09-30,158.0,102.0,45.0,52.0,0.0,495,4600,0.3107,18.5,0.38,49.0,10.5,0.100,8.0,5.2,Sludge,Non-Corrosive,Poor,28.0,50.0,132.0,0.0,Normal
Main_Transformer_05,2022-05-25,9.0,5.5,2.8,1.6,0.0,28,230,0.2513,71.0,0.01,5.2,45.5,0.002,112.0,0.5,No,Non-Corrosive,Good,100.0,125.0,152.0,0.0,Oil Replacement
Main_Transformer_05,2023-01-20,340.0,48.0,16.0,38.0,22.0,140,880,0.2628,68.5,0.02,6.8,43.8,0.003,105.0,0.5,No,Non-Corrosive,Good,98.0,120.0,151.0,0.0,Normal
Main_Transformer_05,2023-09-28,480.0,85.0,28.0,78.0,38.0,220,1350,0.2487,65.0,0.02,8.8,41.5,0.004,100.0,1.0,No,Non-Corrosive,Good,95.0,118.0,150.0,0.0,Normal
Main_Transformer_05,2024-05-22,12.0,7.0,3.5,2.0,0.0,35,260,0.2609,69.0,0.02,6.0,44.0,0.002,110.0,0.5,No,Non-Corrosive,Good,98.0,122.0,151.0,0.0,Reclaiming
Main_Transformer_05,2025-01-18,13.2,7.6,3.8,2.2,0.0,39,285,0.2693,67.8,0.02,6.5,43.2,0.003,105.0,1.0,No,Non-Corrosive,Good,95.0,118.0,150.0,0.0,Normal
Main_Transformer_05,2025-09-25,15.0,8.5,4.2,2.5,0.0,44,315,0.2565,66.5,0.02,7.1,42.3,0.004,100.0,1.0,No,Non-Corrosive,Good,92.0,115.0,149.0,0.0,Normal
Main_Transformer_05,2026-05-20,17.5,9.8,4.8,2.9,0.0,50,350,0.2638,65.0,0.03,7.8,41.4,0.005,95.0,1.0,No,Non-Corrosive,Good,88.0,110.0,148.0,0.0,Normal
